METODE NEWTON-RAPHSON,,,,,,,,,,,,,,
i,x,y,deltaX,deltaY,,"f1?(x,y)","f2?(x,y)",J11?=2x+y,J12?=x,J21?=3y2,J22?=1+6xy,det J,?x=?[(J?1)(f)]x?,?y=?[(J?1)(f)]y?
0,2.500000,2.500000,0.000000,0.000000,,2.5,-7.625,7.5,2.500000,18.75,38.5,241.875,-0.476744186,0.430232558
1,2.023256,2.930233,0.476744,0.430233,,0.022174148,-1.953148779,6.976744186,2.023256,25.75878853,36.57166036,203.0345001,-0.023457418,0.06992801
2,1.999798,3.000161,0.023457,0.069928,,-0.00109008,0.000497303,6.999757361,1.999798,27.00289031,36.99829776,204.9787704,0.000201609,-0.000160584
3,2.0000000,3.000000,0.000202,0.000161,"Konvergen pada iterasi ke-3
Hasil: x = 2.000000, y = 3.000000",8.27107E-09,-4.28062E-07,6.999999996,2.0000000,26.99999972,36.99999991,204.9999996,-5.66904E-09,1.57061E-08
4,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
5,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
6,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
7,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
8,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
9,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
10,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
11,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
12,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
13,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
14,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
15,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
16,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
17,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
18,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
19,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
20,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
21,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
22,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
23,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
24,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
25,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
26,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
27,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
28,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
29,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
30,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
31,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
32,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
33,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
34,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
35,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
36,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
37,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
38,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
39,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
40,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
41,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
42,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
43,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
44,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
45,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
46,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
47,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
48,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
49,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
50,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
51,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
52,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
53,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
54,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
55,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
56,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
57,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
58,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
59,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
60,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
61,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
62,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
63,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
64,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
65,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
66,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
67,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
68,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
69,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
70,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
71,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
72,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
73,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
74,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
75,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
76,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
77,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
78,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
79,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
80,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
81,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
82,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
83,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
84,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
85,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
86,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
87,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
88,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
89,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
90,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
91,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
92,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
93,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
94,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
95,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
96,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
97,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
98,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
99,2.000000,3.000000,0.000000,0.000000,,0,0,7,2.000000,27,37,205,0,0
